Item Name,Description,Mfg Part #,Category,Rate,Item Type
LP-CC-12,"10-Pack New LP-CC-12 LP-CC-12A LP-CC 12A 600Vac Class CC Time Delay Fuse, LP-CC-12, Motor Starting, Frequent Cycling, Class CC Cartridge Fuses",,Material:Fuses,34.76000,Inventory
LRG BLACK MAMBE GLOVES,BLK-120 LRG BLACK MAMBA GLOVES 100/BX,,Material,0.00000,Non Inventory
LW122W,"4.5"" Wall Inlet - LW122W (White)",,Material,88.36000,Inventory
M6JMH035IAA177,"Condensing unit, air cooled, hermetic compressor, indoor, Medium Temp, R404A, R448A, R449A, 1/3 HP, 115/1/60 volt, with Receiver with valve, suction v",M6JMH035IAA177,Equipment,1855.51000,Inventory
MAN000005164,,,Material:Refrigeration,0.00000,Non Inventory
MAN000007888,Manitowoc® - 000007888 - Curtain Switch,,Material:Refrigeration,174.96000,Inventory
MAN000008110,"Manitowoc® - 000008110 - 48"" Damper",,Material:Refrigeration,276.45000,Inventory
MAN000008309,Manitowoc® - 000008309 - I Model Control Board,,Material:Refrigeration,1841.47000,Inventory
MAN000009123,Manitowoc® - 000009123 - Water Inlet Valve,,Material:Refrigeration,375.15000,Inventory
MAN000010339,"Manitowoc® - 000010339 - Trough, Water 48""",,Material:Refrigeration,679.83000,Inventory
MAN000015573,Manitowoc® - 000015573 - Thermistor Assembly,,Material:Refrigeration,152.33000,Inventory
MAN000015965,Manitowoc® - 000015965 - Fan Motor Assembly 115V,,Material:Refrigeration,219.31000,Inventory
MAN000017191,Manitowoc Ice 000017191 START RELAY,,Material:Refrigeration,275.64000,Inventory
MAN000017192,Manitowoc Ice 000017192 RUN CAPACITOR,,,159.99000,Inventory
MAN000017193,"Manitowoc Ice 000017193 Capacitor, Start, 250 Volt, 50/60HZ, 208uF",,Material:Refrigeration,154.12000,Inventory
MAN000017454,Manitowoc Ice 000017454 OVERLOAD,,Material:Refrigeration,64.68000,Inventory
MAN000018652,"Manitowoc Ice 000018652 Solenoid Valve, 208-240 Volt, 50/60HZ",,Material:Refrigeration,230.71000,Inventory
MAN2009093,Manitowoc® - 2009093 - Water Inlet Valve with Coil,,Material:Refrigeration,279.17000,Inventory
MAN2009803,Manitowoc® - 2009803 - Saddle Damper Door,MAN2009803,Material:Refrigeration,138.67000,Inventory
MAN4014443,Manitowoc® - 4014443 - Dampier Door,MAN4014443,Material:Refrigeration,182.76000,Inventory
MAN7626733,Manitowoc® - 7626733 - Fan Motor Kit Fan Motor KIT 208-230V 50/60HZ,,Material:Refrigeration,927.17000,Inventory
